"date","site_code","product_code","preds"
"2019 Sep","C1004","AS21126",0.74928830840139
"2019 Sep","C1004","AS27000",35.5094439099643
"2019 Sep","C1004","AS27132",5.3593350751496
"2019 Sep","C1004","AS27133",39.7786708124302
"2019 Sep","C1004","AS27134",4.35934742146122
"2019 Sep","C1004","AS27137",13.2240295020312
"2019 Sep","C1004","AS27138",12.9701662876988
"2019 Sep","C1007","AS17005",0.0827605317242403
"2019 Sep","C1007","AS21126",0.537797721007052
"2019 Sep","C1007","AS27000",59.7977302406664
"2019 Sep","C1007","AS27132",46.033839760128
"2019 Sep","C1007","AS27133",26.2035422276136
"2019 Sep","C1007","AS27134",21.0757313199325
"2019 Sep","C1007","AS27137",18.7055026135021
"2019 Sep","C1007","AS27138",18.3834827010461
"2019 Sep","C1007","AS27139",0.177906565232171
"2019 Sep","C1007","AS42018",26.62222209072
"2019 Sep","C1007","AS46000",1.24127672608489
"2019 Sep","C1008","AS27000",17.4141600765493
"2019 Sep","C1008","AS27133",28.6925352472759
"2019 Sep","C1008","AS27134",8.64235966520741
"2019 Sep","C1008","AS27137",7.31525628247665
"2019 Sep","C1008","AS27138",8.92519262623538
"2019 Sep","C1009","AS27000",11.0015794418552
"2019 Sep","C1009","AS27132",0.229882705846905
"2019 Sep","C1009","AS27133",28.0231148777375
"2019 Sep","C1009","AS27137",3.00244129400995
"2019 Sep","C1009","AS27138",2.94141195783951
"2019 Sep","C1010","AS27000",17.704729332269
"2019 Sep","C1010","AS27132",4.87418193285168
"2019 Sep","C1010","AS27133",40.9509599779977
"2019 Sep","C1010","AS27134",14.4447256863298
"2019 Sep","C1010","AS27137",5.26379652335289
"2019 Sep","C1010","AS27138",1.531951656041
"2019 Sep","C1011","AS21126",1.31017213500153
"2019 Sep","C1011","AS27000",18.0604236444991
"2019 Sep","C1011","AS27132",3.21644173317825
"2019 Sep","C1011","AS27133",62.5434093260013
"2019 Sep","C1011","AS27134",4.37527745877548
"2019 Sep","C1011","AS27137",2.73064329868574
"2019 Sep","C1011","AS27138",20.4178946548829
"2019 Sep","C1011","AS27139",0.0065353853861301
"2019 Sep","C1011","AS46000",0.282490257370688
"2019 Sep","C1014","AS17005",0.493664180180963
"2019 Sep","C1014","AS21126",0.0272722702981457
"2019 Sep","C1014","AS27000",0.83916911275768
"2019 Sep","C1014","AS27132",0.769857734465237
"2019 Sep","C1014","AS27133",1.88997647884371
"2019 Sep","C1014","AS27134",3.82388567546344
"2019 Sep","C1014","AS27137",0.499792219162968
"2019 Sep","C1014","AS27138",1.99492123016596
"2019 Sep","C1014","AS27139",0
"2019 Sep","C1014","AS42018",0.00321832769161055
"2019 Sep","C1014","AS46000",0.00815644725808426
"2019 Sep","C1015","AS17005",0
"2019 Sep","C1015","AS21126",0.0969144471046597
"2019 Sep","C1015","AS27000",16.6574386259578
"2019 Sep","C1015","AS27132",1.86374945603351
"2019 Sep","C1015","AS27133",7.88570936585558
"2019 Sep","C1015","AS27134",16.3226498722573
"2019 Sep","C1015","AS27137",1.49689688898778
"2019 Sep","C1015","AS27138",1.38111692310786
"2019 Sep","C1015","AS27139",0
"2019 Sep","C1015","AS42018",0.0521343881864123
"2019 Sep","C1015","AS46000",22.11568368495
"2019 Sep","C1017","AS21126",0
"2019 Sep","C1017","AS27000",0.422611595816959
"2019 Sep","C1017","AS27132",0
"2019 Sep","C1017","AS27133",22.6701783217383
"2019 Sep","C1017","AS27134",0.447426277289165
"2019 Sep","C1017","AS27137",2.38260880811355
"2019 Sep","C1017","AS27138",2.16081834282747
"2019 Sep","C1017","AS42018",0
"2019 Sep","C1018","AS17005",0.337356262642713
"2019 Sep","C1018","AS21126",1.90125989864341
"2019 Sep","C1018","AS27000",67.8046704441418
"2019 Sep","C1018","AS27132",5.76686120848883
"2019 Sep","C1018","AS27133",69.8925548450807
"2019 Sep","C1018","AS27134",43.085556512064
"2019 Sep","C1018","AS27137",10.1898969047272
"2019 Sep","C1018","AS27138",26.6258261797278
"2019 Sep","C1018","AS27139",0.680725611120378
"2019 Sep","C1018","AS42018",0.78616693729334
"2019 Sep","C1018","AS46000",16.1873312870623
