ID,prediction
2019 X 9 X C1004 X AS21126,0.07910014957149059
2019 X 7 X C1004 X AS27000,39.63867199414612
2019 X 8 X C1004 X AS27000,32.70404308098946
2019 X 9 X C1004 X AS27000,39.58319105990126
2019 X 7 X C1004 X AS27132,0.7332959754880449
2019 X 8 X C1004 X AS27132,1.8078700238695418
2019 X 9 X C1004 X AS27132,0.9678990633194211
2019 X 7 X C1004 X AS27133,47.4797821305112
2019 X 8 X C1004 X AS27133,63.8446733065379
2019 X 9 X C1004 X AS27133,48.211003676781864
2019 X 9 X C1004 X AS27134,8.723521748121264
2019 X 7 X C1004 X AS27137,23.909877019441762
2019 X 8 X C1004 X AS27137,34.3204565198535
2019 X 9 X C1004 X AS27137,16.211896042378278
2019 X 7 X C1004 X AS27138,31.452149133651144
2019 X 8 X C1004 X AS27138,22.803793417708842
2019 X 9 X C1004 X AS27138,22.685539100252445
2019 X 7 X C1007 X AS17005,0.0
2019 X 8 X C1007 X AS17005,0.0
2019 X 9 X C1007 X AS17005,0.0
2019 X 7 X C1007 X AS21126,0.0
2019 X 8 X C1007 X AS21126,0.0
2019 X 9 X C1007 X AS21126,0.0
2019 X 7 X C1007 X AS27000,55.32359541490954
2019 X 8 X C1007 X AS27000,36.17521289381605
2019 X 9 X C1007 X AS27000,68.15057218827847
2019 X 7 X C1007 X AS27132,49.03436536049761
2019 X 8 X C1007 X AS27132,26.73307799495798
2019 X 9 X C1007 X AS27132,22.874415719359444
2019 X 7 X C1007 X AS27133,46.38223002703425
2019 X 8 X C1007 X AS27133,20.013384396315605
2019 X 9 X C1007 X AS27133,40.86315984400775
2019 X 7 X C1007 X AS27134,18.573833880372057
2019 X 8 X C1007 X AS27134,40.739454235128875
2019 X 9 X C1007 X AS27134,33.56525470972498
2019 X 7 X C1007 X AS27137,8.278898346265995
2019 X 8 X C1007 X AS27137,17.261556528224087
2019 X 9 X C1007 X AS27137,9.235825127057394
2019 X 7 X C1007 X AS27138,27.260914073374053
2019 X 8 X C1007 X AS27138,35.23020213083326
2019 X 9 X C1007 X AS27138,24.225557103652115
2019 X 7 X C1007 X AS27139,0.0
2019 X 8 X C1007 X AS27139,0.0
2019 X 9 X C1007 X AS27139,0.0
2019 X 7 X C1007 X AS42018,30.497996529644915
2019 X 8 X C1007 X AS42018,32.73394576913788
2019 X 9 X C1007 X AS42018,31.755015019734266
2019 X 7 X C1007 X AS46000,0.0
2019 X 8 X C1007 X AS46000,0.0
2019 X 9 X C1007 X AS46000,0.0
2019 X 7 X C1008 X AS21126,0.006964860786549266
2019 X 7 X C1008 X AS27000,25.756561513100444
2019 X 8 X C1008 X AS27000,25.696931565507445
2019 X 9 X C1008 X AS27000,23.798304678514423
2019 X 7 X C1008 X AS27132,0.3601325547463899
2019 X 7 X C1008 X AS27133,29.199108819424062
2019 X 8 X C1008 X AS27133,10.872085535831767
2019 X 9 X C1008 X AS27133,18.387355193999415
2019 X 7 X C1008 X AS27134,6.964078633699367
2019 X 8 X C1008 X AS27134,14.010200302336804
2019 X 9 X C1008 X AS27134,4.1405622675449045
2019 X 7 X C1008 X AS27137,3.313145615221437
2019 X 8 X C1008 X AS27137,5.6506406205263255
2019 X 9 X C1008 X AS27137,8.768631454642199
2019 X 7 X C1008 X AS27138,10.371985953211993
2019 X 8 X C1008 X AS27138,10.735657082873297
2019 X 9 X C1008 X AS27138,10.376411737689658
2019 X 7 X C1008 X AS42018,0.07527198086929458
2019 X 7 X C1009 X AS27000,24.39052739360833
2019 X 8 X C1009 X AS27000,27.9981896578244
2019 X 9 X C1009 X AS27000,22.747775618896842
2019 X 7 X C1009 X AS27132,0.14280943168169022
2019 X 9 X C1009 X AS27132,0.14280943168169022
2019 X 7 X C1009 X AS27133,20.06878891174781
2019 X 8 X C1009 X AS27133,21.555424492492094
2019 X 9 X C1009 X AS27133,24.884990277033253
2019 X 7 X C1009 X AS27137,0.0
2019 X 8 X C1009 X AS27137,4.645442101663429
2019 X 9 X C1009 X AS27137,1.0137990668810302
2019 X 7 X C1009 X AS27138,3.327811519001888
2019 X 8 X C1009 X AS27138,4.781725716796993
2019 X 9 X C1009 X AS27138,4.136391421308911
2019 X 7 X C1009 X AS27139,0.0
2019 X 7 X C1010 X AS27000,19.8460147533798
2019 X 8 X C1010 X AS27000,13.699334728039561
2019 X 9 X C1010 X AS27000,17.562252942783292
2019 X 7 X C1010 X AS27132,2.659948049676347
